timestamp,ambient_cycle,temperature_C,harvester_power_W,core_power_W,interconnect_resistance_Ohm,healed_event
2023-01-01T00:00:00,0.000,20.0,0.50,0.10,100.0,False
2023-01-01T00:00:01,0.062,20.1,0.52,0.10, 98.5,False
2023-01-01T00:00:02,0.125,20.2,0.48,0.10, 96.0,False
2023-01-01T00:00:03,0.187,20.3,0.55,0.10, 93.0,False
2023-01-01T00:00:04,0.250,20.4,0.60,0.10, 90.0,False
2023-01-01T00:00:05,0.312,20.5,0.58,0.10, 88.0,False
2023-01-01T00:00:06,0.375,20.6,0.62,0.10, 85.0,False
2023-01-01T00:00:07,0.437,20.7,0.65,0.10, 82.0,False
2023-01-01T00:00:08,0.500,20.8,0.70,0.10, 80.0,False
2023-01-01T00:00:09,0.562,20.9,0.75,0.10, 78.0,True
